"Note: I'm not counting characters that are announced by the ST, and without ""might"", as those are known information. Following columns ignore Travellers. Order does not matter",Should be present?,Should have multiple if present?,Should not only be good characters if present?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is a (potential) source of misinformation for others,TRUE,TRUE,TRUE,Atheist,Innkeeper,Minstrel,Philosopher,Sailor,Village Idiot,Lycanthrope,Drunk,Recluse,Sweetheart,Goon,Puzzlemaster,Mutant,Poisoner,Spy,Evil Twin,Cerenovus,Marionette,Widow,Xaan,Vigormortis,No Dashii,Vortox,Pukka,Lleech,Legion,Fibbin,Knaves,Harpy,Ventriloquist,,,,,,,,,,
Explains modified visible Outsider count,TRUE,FALSE,TRUE,Atheist,Balloonist,Drunk,Hermit,Baron,Godfather,Xaan,Fang Gu,Vigormortis,Legion,Kazali,Lord of Typhon,Sentinel,Pope,Marionette,,,,,,,,,,,,,,,,,,,,,,,,,
Pushes good to nominate and execute,TRUE,FALSE,FALSE,Bounty Hunter,Cannibal,Empath,Flowergirl,King,Minstrel,Oracle,Pacifist,Princess,Sailor,Fool,Tea Lady,Town Crier,Undertaker,Virgin,Devil's Advocate,Zombuul,Vortox,Bureaucrat,Butcher,Thief,Scapegoat,Tor,Hindu,,,,,,,,,,,,,,,,
Can differentiate Demons and Minions,TRUE,FALSE,FALSE,Artist,Balloonist,Dreamer,Exorcist,Flowergirl,Fortune Teller,Gambler,Investigator,Juggler,Knight,Ravenkeeper,Sage,Savant,Snake Charmer,Slayer,Town Crier,Undertaker,Golem,,,,,,,,,,,,,,,,,,,,,,
Explains evil night deaths (ignoring extra evil),TRUE,FALSE,FALSE,Poppy Grower,Scarlet Woman,Pit-Hag,Imp,Fang Gu,Vigormortis,Zombuul,Legion,Lil' Monsta,Magician,Hindu,Tor,Shabaloth,Ojo,Yaggababble,,,,,,,,,,,,,,,,,,,,,,,,,
Explains night deaths,FALSE,TRUE,TRUE,Atheist,Acrobat,Gambler,Gossip,Moonchild,Tinker,Pit-Hag,Assassin,Godfather,Harpy,Po,Shabaloth,Legion,Ojo,Yaggababble,Barista,Harlot,Lycanthrope,Imp,Fang Gu,Vigormortis,No Dashii,Vortox,Pukka,Zombuul,Lleech,Lil' Monsta,Kazali,Lord of Typhon,,,,,,,,,,,
Explains no night deaths,FALSE,FALSE,FALSE,Atheist,Courtier,Exorcist,Fool,Innkeeper,Minstrel,Monk,Princess,Sailor,Soldier,Tea Lady,Goon,Pit-Hag,Mastermind,Summoner,Po,Pukka,Zombuul,Riot,Legion,Lil' Monsta,Ojo,Toymaker,Evil Twin,,,,,,,,,,,,,,,,
Explains extra night deaths,FALSE,TRUE,TRUE,Atheist,Acrobat,Gambler,Gossip,Grandmother,Moonchild,Tinker,Pit-Hag,Assassin,Godfather,Harpy,Po,Shabaloth,Legion,Ojo,Yaggababble,Barista,Harlot,,,,,,,,,,,,,,,,,,,,,,
Explains executions survival,FALSE,TRUE,TRUE,Atheist,Fool,Pacifist,Tea Lady,Sailor,Devil's Advocate,Lleech,Ventriloquist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explains resurrections,FALSE,TRUE,TRUE,Atheist,Professor,Shabaloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explains day deaths,FALSE,FALSE,FALSE,Tinker,Golem,Yaggababble,Slayer,Psychopath,Harpy,Witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explains non-specific character changes,FALSE,FALSE,FALSE,Barber,Hatter,Pit-Hag,Farmer,Wizard,Riot,Cacklejack,Huntsman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefits from longer games,FALSE,FALSE,FALSE,Amnesiac,Alsaahir,Balloonist,Flowergirl,Savant,Town Crier,Village Idiot,Slayer,Puzzlemaster,Zenomancer,Knaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is a hidden Outsider,FALSE,FALSE,FALSE,Drunk,Mutant,Klutz,Moonchild,Lunatic,Damsel,Heretic,Plague Doctor,Hatter,Politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is a Demon that causes misinformation,FALSE,FALSE,FALSE,Vigormortis,Vortox,No Dashii,Pukka,Lleech,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is a Demon that puts Minions forward,FALSE,FALSE,FALSE,Vigormortis,Lil' Monsta,Lord of Typhon,Kazali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fully ignores droison during the game,FALSE,FALSE,FALSE,Drunk,Butler,Snitch,Ogre,Zealot,Marionette,Magician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pushes good to lie/bluff beyond hiding powerful abilities,FALSE,FALSE,FALSE,Cult Leader,Choirboy,Banshee,Farmer,Juggler,Magician,Pixie,Poppy Grower,Gossip,Ravenkeeper,Sage,Snake Charmer,Soldier,Barber,Sweetheart,Mutant,Klutz,Goon,Moonchild,Lunatic,Damsel,Politician,Heretic,Plague Doctor,Hatter,Ogre,Marionette,Summoner,Mezepheles,Fang Gu,Ojo,Preacher,Alsaahir,Saint,Cerenovus,Harpy,Big Wig,Ventriloquist,Tor,Undertaker
Helps with execution,FALSE,FALSE,FALSE,Banshee,Zealot,God of Ug,Bureaucrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
