,Drunk,Saint,Butler,Recluse,Barber,Sweetheart,Mutant,Klutz,Goon,Moonchild,Tinker,Lunatic,Damsel,Golem,Politician,Puzzlemaster,Snitch,Heretic,Plague Doctor,Hatter,Ogre,Zealot
Drunk,.,! The Hermit Drunk cannot know they're the other role,!! The Hermit Drunk cannot know they're the other role,! The Hermit Drunk cannot know they're the other role,! The Hermit Drunk cannot know they're the other role. New hermits don't learn they're the Hermit,! The Hermit Drunk cannot know they're the other role,?? Interesting combination,"!! The Hermit Drunk cannot know they're the other role, unless everyone must claim it",! The Hermit might learn they are this role,"!! The Hermit Drunk cannot know they're the other role, unless everyone must claim it",?? Interesting combination,!! Doesn't work,! The Hermit Drunk cannot know they're the other role,! The Hermit might learn they are this role,?? Interesting combination,"! Allows anyone who thinks they're a Townsfolk to do a Puzzlemaster guess, which will confirm to the Hermit-Drunk they are the Hermit (can be bluffed)",! The Hermit Drunk cannot know they're the other role,!! The Hermit Drunk cannot know they're the other role,! The Hermit Drunk cannot know they're the other role,! The Hermit Drunk cannot know they're the other role,!! Doesn't work,"!! The Hermit Drunk cannot know they're the other role, unless everyone must claim it"
Saint,,.,,?? Interesting combination,! The Hermit Saint can only die at night,! The Hermit Saint can only die at night,! The Hermit Saint can't defend itself,! The Hermit Saint can only die at night,! Dangerous but interesting combination. Goon makes it harder for the Hermit to die at night.,! The Hermit Saint can only die at night,! Bad synergy,,,!! Hermit Golem Saint can kill itself,?? Interesting combination,,,,! The Hermit Saint can only die at night,! The Hermit Saint can only die at night,! Dangerous but interesting combination,
Butler,,,.,,? Prevents the Hermit from just being executed,? Prevents the Hermit from just being executed ! Butler is hard to hide,?? Interesting combination ! Hermit Butler Mutant can't communicate with its master,? Prevents the Hermit from just being executed ! Butler is hard to hide,! Butler is hard to hide,? Prevents the Hermit from just being executed ! Butler is hard to hide,,!! Doesn't work,! Butler is hard to hide. Hermit Butler Damsel can't easily communicate with its master,! Butler is hard to hide. Golem is hard to hide. Hermit Golem can control its death,,,,! This ability can telegraph where the Hermit Heretic is (or prevents the Butler from communicating). Butler is hard to hide,? Prevents the Hermit from just being executed ! Butler is hard to hide,? Prevents the Hermit from just being executed ! Butler is hard to hide,? Hermit Bulter Ogre can alwasy choose its friend as its master while they're alive,"! Requires a jinx, most likely that the Butler must vote if able"
Recluse,,,,.,? ST can register the Hermit as a Demon to prevent a swap,,,,! Goon will already cause misinformation for characters that choose,,,?? Interesting combination,? Misregistration could help conceal the Damsel,? Prevents confirmation by nominating yourself,,Hermit can learn themself as the Demon (dont),Hermit can give itself bluffs (don't),,,,,
Barber,,,,,.,"! Hermit will probably be Barber swapped back into play, but moving a Sweetheart ends its ability",? Hermit can control its death (somewhat),! Hermit will probably be Barber swapped back into play,! Goon makes it harder for the Hermit to die. Beware two extra evils ? Evil Barber can coordinate with evil.,! Hermit will probably be Barber swapped back into play,"? ST can trigger this ability thanks to the Tinker ! Hermit will probably be Barber swapped back into play, but moving a Sweetheart ends its ability",?? Interesting combination,! Hermit will probably be Barber swapped back into play. This ability can telegraph where the Hermit Damsel is,! Golem is hard to hide. Hermit Golem can control its death,!! Swapping a player with an evil Policitian can create an evil Politician,"! Changing who the Puzzlemaster is might change who is drunk, even if the new Puzzlemaster is dead.","! Hermit will probably be Barber swapped back into play, which will trigger Snitch again",! This ability can telegraph where the Hermit Heretic is,! Hermit will probably be Barber swapped back into play,! Hermit will probably be Barber swapped back into play. ST can resolve abilities in either order,! Beware two extra evils ? Evil Hermit Barber can coordinate,! Zealot is hard to hide
Sweetheart,,,,,,.,? Hermit can control its death (somewhat),! Announced death will force the reveal of this role,! Goon makes it harder for the Hermit to die.,! Announced death will force the reveal of this role,? ST can trigger this ability thanks to the Tinker,?? Interesting combination,,! Golem is hard to hide. Hermit Golem can control its death,,,,,,,,! Zealot is hard to hide
Mutant,,,,,,,.,? Hermit can control its death (somewhat),? Hermit can control its death (somewhat) and force their alginment to stay where it is,? Hermit can control its death (somewhat),! Bad synergy,,? Hermit can control its death (somewhat),! Golem is hard to hide. Hermit Golem can control its death,,! Will need other reasons to visit the ST to bluff,! Can't reveal its existence,! Can't reveal its existence,? Hermit can control its death (somewhat),? Hermit can control its death (somewhat),,! Zealot is hard to hide
Klutz,,,,,,,,.,! Goon makes it harder for the Hermit to die.,Distinguishable from regular Moonchild and Klutz,? ST can trigger this ability thanks to the Tinker,!! Doesn't work,! This role's death might telegraph the presence of the Damsel,! Golem is hard to hide. Hermit Golem can control its death,?? Interesting combination,,,! This ability can telegraph where the Hermit Heretic is,! Announced death will force the reveal of this role,! Announced death will force the reveal of this role,! Dangerous combination,! Zealot is hard to hide
Goon,,,,,,,,,.,! Goon makes it harder for the Hermit to die.,? ST can force the Goon to stay in their alignment,"! Doesn't work without a jinx, most likely the Lunatic doesn't learn if they change alignment",!! Evil Damsel doesn't work,! Golem is hard to hide. Hermit Golem can control its death,? Allows the Hermit to play both sides for the entire game,,,,! Goon makes it harder for the Hermit to die.,! Goon makes it harder for the Hermit to die.,! Goon overrides Ogre,! Zealot is hard to hide
Moonchild,,,,,,,,,,.,? ST can trigger this ability thanks to the Tinker,!! Doesn't work,! This role's death might telegraph the presence of the Damsel,! Golem is hard to hide. Hermit Golem can control its death,,,,! This ability can telegraph where the Hermit Heretic is,! Announced death will force the reveal of this role,! Announced death will force the reveal of this role,,! Zealot is hard to hide
